Le nombre de site (720 min)
151
Les sites 
siteId score temps
0 0 0
1 90 10
2 69 7
3 72 7
4 116 16
5 96 12
6 116 17
7 75 11
8 137 20
9 89 9
10 61 11
11 144 20
12 90 17
13 129 16
14 71 5
15 109 14
16 54 6
17 71 10
18 39 6
19 83 7
20 139 18
21 70 11
22 107 19
23 77 9
24 38 5
25 38 7
26 36 5
27 59 9
28 125 18
29 91 12
30 40 8
31 54 6
32 110 19
33 68 12
34 93 16
35 71 5
36 76 15
37 113 18
38 71 8
39 85 17
40 57 11
41 72 8
42 105 17
43 66 5
44 69 12
45 121 15
46 64 6
47 121 20
48 91 14
49 75 15
50 53 5
51 111 20
52 99 14
53 82 9
54 83 11
55 74 10
56 104 19
57 68 7
58 98 12
59 107 19
60 108 20
61 71 7
62 91 17
63 121 19
64 66 10
65 72 6
66 91 11
67 109 14
68 101 17
69 77 15
70 54 10
71 119 14
72 134 17
73 81 8
74 74 5
75 100 18
76 107 20
77 132 19
78 108 16
79 103 12
80 70 13
81 97 10
82 117 16
83 74 6
84 120 16
85 59 9
86 80 8
87 69 6
88 60 10
89 97 16
90 28 5
91 101 18
92 96 12
93 104 16
94 71 14
95 27 5
96 112 20
97 148 20
98 96 19
99 118 17
100 35 6
101 110 18
102 57 7
103 97 12
104 106 19
105 60 7
106 97 11
107 100 16
108 117 18
109 106 14
110 138 18
111 102 15
112 60 10
113 55 6
114 85 7
115 107 14
116 80 11
117 131 17
118 108 19
119 130 16
120 36 7
121 92 18
122 93 9
123 90 18
124 143 19
125 110 17
126 58 7
127 99 12
128 85 12
129 139 18
130 89 11
131 69 6
132 111 18
133 65 7
134 70 11
135 49 9
136 82 9
137 96 11
138 78 11
139 70 7
140 62 12
141 109 13
142 63 7
143 124 20
144 139 20
145 114 14
146 109 17
147 69 10
148 81 9
149 39 7
150 59 8
 La matrice de temps
0 45 66 58 39 8 65 76 18 75 47 29 73 36 48 13 73 22 33 54 3 69 51 27 34 76 70 3 69 51 36 5 19 55 48 49 4 59 59 72 56 57 63 68 4 7 36 10 48 76 36 32 39 34 33 31 67 41 35 52 62 59 23 64 48 52 2 39 40 18 62 39 24 46 30 16 13 63 42 39 5 24 35 58 22 7 50 16 63 62 67 8 63 15 16 20 56 31 59 74 69 72 10 31 68 35 25 47 9 35 74 19 8 58 69 27 73 15 68 2 48 37 60 48 5 57 36 67 6 58 75 55 42 56 53 47 73 57 40 4 53 15 46 60 27 35 23 73 28 2 46 
10 0 28 36 70 33 57 30 26 13 39 53 16 45 50 40 16 17 15 24 73 54 44 4 16 75 22 33 71 58 51 15 19 14 43 58 9 48 74 56 7 73 3 5 36 53 48 74 2 40 34 46 27 63 54 47 70 23 38 48 9 21 28 38 4 74 48 44 61 26 41 29 75 71 76 71 12 63 5 42 2 33 33 10 59 71 66 5 7 50 51 45 7 29 47 27 37 9 36 16 68 55 43 17 46 38 10 47 43 63 55 21 56 69 11 22 71 55 33 62 66 43 73 32 24 28 15 8 70 43 37 75 59 57 28 48 30 24 61 3 23 62 16 22 67 74 75 10 27 42 49 
75 5 0 13 26 43 50 25 27 32 59 7 48 27 28 71 33 34 9 29 10 74 7 73 60 35 42 6 29 58 66 67 24 60 57 12 58 24 16 17 20 74 61 56 40 8 4 40 69 48 16 51 47 62 50 56 2 48 69 72 15 52 52 28 8 53 5 14 31 33 8 34 35 37 67 15 75 58 3 50 70 15 48 39 55 50 16 32 20 50 48 2 49 56 61 22 66 51 19 3 7 43 75 47 45 32 68 71 29 44 50 76 32 31 45 42 44 31 69 12 70 38 69 19 9 18 68 44 57 31 64 74 72 19 41 37 70 59 31 54 48 66 63 9 62 49 34 4 24 34 17 
3 62 25 0 75 8 18 68 54 37 5 46 53 13 5 53 58 69 62 50 25 2 38 64 53 10 61 31 67 35 34 73 17 15 65 73 26 9 55 2 54 30 2 63 65 71 53 48 23 45 26 53 6 76 13 27 57 66 3 34 71 13 16 45 9 76 35 66 33 40 71 30 22 60 58 19 57 19 22 55 3 57 15 16 34 10 64 18 13 35 52 21 54 26 34 48 54 75 15 26 24 76 34 31 61 74 10 62 21 3 68 46 70 35 43 6 33 30 36 20 6 18 39 50 74 33 13 72 59 36 34 44 32 31 12 64 44 25 40 31 13 53 35 58 58 13 38 71 71 12 5 
35 73 28 38 0 14 13 36 66 22 64 38 19 5 53 56 75 41 26 68 50 35 32 73 24 35 68 50 51 63 56 53 32 36 67 55 47 34 5 23 2 57 15 65 23 48 27 46 17 63 37 10 28 26 24 63 23 22 74 2 52 56 7 27 32 59 45 44 47 53 22 49 76 51 60 38 61 74 41 2 12 56 6 37 14 71 64 35 69 49 23 42 44 69 50 64 72 55 12 64 4 70 43 57 40 18 36 66 63 71 41 43 2 56 39 22 20 73 31 16 38 29 11 23 63 12 6 38 54 15 61 74 36 57 46 48 56 19 21 19 30 59 44 9 25 74 56 21 54 61 31 
21 58 9 22 59 0 62 9 44 39 3 60 61 28 7 27 57 39 33 44 51 66 42 27 44 15 3 69 43 20 34 65 70 42 15 60 9 62 38 3 74 25 38 17 60 75 65 66 49 38 11 50 35 25 63 4 14 20 58 56 14 29 56 3 31 7 42 51 60 52 51 25 69 5 33 27 31 73 72 62 65 24 23 46 43 11 23 43 41 59 8 25 16 69 26 73 75 26 25 18 65 31 21 25 74 70 40 75 51 31 40 55 8 34 30 15 67 34 62 5 61 37 44 71 16 52 10 16 71 15 49 57 21 76 74 74 23 26 4 2 69 24 39 73 35 63 33 46 10 59 23 
20 15 13 52 46 19 0 6 4 43 38 19 72 52 59 63 38 33 11 9 42 39 37 17 38 39 24 57 61 52 60 12 14 62 17 43 64 13 67 27 3 26 52 53 28 31 29 36 56 16 45 30 58 7 72 48 72 53 55 46 10 16 31 58 27 62 72 68 27 44 72 51 46 45 42 72 37 52 66 29 13 70 44 40 51 65 70 39 26 40 42 4 2 76 56 37 42 68 4 72 47 63 42 69 13 13 5 11 60 51 22 26 4 33 58 19 33 34 52 21 62 46 72 31 38 34 67 14 63 48 65 63 75 50 25 64 30 51 61 71 52 51 28 60 49 71 73 53 6 21 23 
67 6 42 13 15 12 37 0 62 51 51 49 19 40 54 36 7 36 28 24 21 32 30 15 16 27 17 27 29 2 27 60 60 15 4 2 23 61 72 3 7 20 51 5 16 57 29 62 8 39 56 41 30 63 19 46 26 34 28 24 49 71 42 30 47 33 24 15 13 40 33 34 35 67 18 52 31 63 15 32 19 53 26 35 43 31 59 15 5 53 29 69 54 10 66 38 56 34 20 67 3 69 37 53 61 38 37 53 56 47 57 7 71 9 35 76 9 34 11 61 3 31 68 30 39 11 47 59 43 65 41 12 5 60 52 34 48 16 51 46 33 65 18 31 56 62 68 57 34 2 49 
30 56 48 14 3 27 53 45 0 24 60 57 16 74 50 14 42 53 7 12 61 32 2 47 6 39 13 28 35 13 65 32 66 76 54 34 28 45 20 32 12 20 66 14 40 37 21 29 33 62 9 49 65 4 76 19 34 7 27 19 61 30 61 4 23 23 9 41 57 9 53 13 29 29 50 33 41 16 43 49 33 72 18 37 72 62 5 40 39 25 67 76 63 60 45 63 56 53 55 32 41 4 29 66 25 44 75 19 75 36 49 72 48 44 48 28 76 31 12 19 58 30 2 56 65 74 35 59 62 25 4 55 44 45 16 54 43 16 6 13 65 73 11 76 32 34 70 14 29 66 25 
55 14 76 57 67 50 44 11 62 0 28 8 62 38 15 32 10 66 7 54 7 30 28 67 37 55 66 46 76 66 18 64 13 48 35 57 8 67 13 45 32 2 44 73 47 38 52 57 55 10 47 53 63 69 11 36 9 48 68 26 69 26 23 28 45 16 36 28 52 33 37 32 35 37 6 7 44 13 69 30 3 20 75 53 57 30 19 70 2 42 30 6 10 12 15 35 52 48 6 24 37 12 46 14 73 25 40 10 46 11 65 37 35 34 54 39 43 2 74 36 43 21 20 44 72 3 9 12 63 7 4 6 20 4 37 46 30 32 62 13 13 56 57 42 65 39 64 22 71 42 62 
31 50 8 26 32 51 13 12 44 40 0 10 51 68 7 35 63 23 68 20 7 45 73 37 76 43 18 45 62 19 20 12 22 40 71 45 75 7 60 47 48 3 50 18 8 56 69 43 60 69 61 12 46 33 22 58 5 31 33 14 61 37 64 31 15 7 36 40 40 35 73 70 29 42 26 44 30 53 37 18 30 17 62 8 38 61 11 9 3 14 56 58 27 42 19 2 43 29 20 60 70 3 2 70 59 47 53 34 24 52 28 24 44 35 62 8 60 63 28 12 22 27 14 13 62 22 48 69 61 33 14 44 73 17 53 51 5 22 19 40 5 34 46 67 71 10 54 68 4 70 14 
28 70 76 53 47 74 67 5 20 51 46 0 4 64 29 31 29 38 18 45 75 72 32 13 75 37 53 23 47 30 15 8 47 19 32 10 48 40 70 58 62 34 37 71 60 4 69 64 60 73 51 26 47 48 76 38 61 69 43 41 64 16 66 76 69 59 23 59 8 75 43 29 22 35 63 64 55 23 39 25 8 57 4 12 47 4 11 68 61 51 58 33 47 26 27 26 57 43 27 68 36 17 73 40 3 31 62 60 18 52 45 24 23 59 9 75 51 8 64 52 15 33 27 11 39 59 40 68 11 65 19 71 42 43 60 48 71 33 46 29 9 26 33 66 67 3 15 72 36 33 29 
